a1,a2,a3,a4,a5,a6,a7,t-3,t-2,t-1,t
196.2857143,698.7142857,8.714285714,505,1169.571429,26.71428571,1277.428571,2.5,2.4,2.4,2.6
215.2857143,768.5714286,9.142857143,501.2857143,1198,52.71428571,1330,2.4,2.4,2.6,2.5
194,723.2857143,44.28571429,483.8571429,1229.714286,26.14285714,1375.571429,2.4,2.6,2.5,2.6
203.5714286,843.7142857,71.14285714,549.4285714,1285.285714,9.285714286,1392.571429,2.6,2.5,2.6,2.6
257.7142857,995.8571429,83.71428571,622.1428571,1340.142857,26.14285714,1473.714286,2.5,2.6,2.6,2.8
357,1035.714286,115.4285714,596.8571429,1407.714286,45.42857143,1516.857143,2.6,2.6,2.8,3
852.2857143,1124,217.7142857,677.4285714,1460.857143,73.42857143,1569.142857,2.6,2.8,3,3.2
734.1428571,1157.571429,203.7142857,638.8571429,1405.714286,63,1707.571429,2.8,3,3.2,3.2
916.1428571,1216.142857,218.5714286,672.7142857,1629.714286,58.14285714,1832.857143,3,3.2,3.2,3.2
806,1215.142857,213,601.5714286,1542,80.57142857,1764.714286,3.2,3.2,3.2,3.4
832.2857143,1211.714286,195.2857143,576,1516,65.85714286,1732.285714,3.2,3.2,3.4,3
1032.285714,1210.428571,205,585.8571429,1505.285714,68.42857143,1710.714286,3.2,3.4,3,3
1073.571429,1217.857143,215.5714286,549.7142857,1377.571429,66.85714286,1605.142857,3.4,3,3,4.6
766.2857143,1183.714286,179,530.4285714,1299.571429,59.71428571,1439,3,3,4.6,3
967.4285714,1287.428571,207.1428571,602.7142857,1470.142857,107.4285714,1700.142857,3,4.6,3,3
804.4285714,1260.142857,190,619.8571429,1326.142857,77.28571429,1572.571429,4.6,3,3,3.4
864.5714286,1293.857143,217.4285714,644.4285714,1311.571429,83.85714286,1647.428571,3,3,3.4,3.6
929.1428571,1284.142857,217.7142857,646,1334.428571,97.85714286,1660,3,3.4,3.6,3.9
1411,1370.428571,384.2857143,708.5714286,1394,131.7142857,1774.142857,3.4,3.6,3.9,4.1
1122.285714,1358.285714,288,719,1424.428571,123.1428571,1808,3.6,3.9,4.1,4
887.4285714,1315.142857,232.1428571,679.2857143,1370.571429,134.2857143,1705.714286,3.9,4.1,4,4
605.8571429,1199.571429,179.5714286,640.7142857,1224.857143,88.57142857,1544.142857,4.1,4,4,3.7
456.1428571,1055.714286,146.2857143,599.5714286,1192.142857,62.42857143,1427.714286,4,4,3.7,3.5
377.7142857,1005.428571,139.8571429,697.5714286,1176.285714,37.28571429,1308.142857,4,3.7,3.5,3.5
373.7142857,1054.428571,126,891.4285714,1076.571429,17.42857143,1272,3.7,3.5,3.5,3.7
514.2857143,1106,132.8571429,753.5714286,1085.428571,26.14285714,1212.571429,3.5,3.5,3.7,3.6
307.8571429,1111.142857,65.85714286,901,1074.142857,8.714285714,1225,3.5,3.7,3.6,3.5
257,1082.428571,63,772.7142857,1057.142857,0,1223.428571,3.7,3.6,3.5,3.3
248.5714286,1017.571429,35.71428571,851.8571429,1062.285714,0,1207.142857,3.6,3.5,3.3,3.4
234.7142857,948.2857143,8.714285714,797.7142857,967,0,1195.428571,3.5,3.3,3.4,3.5
214.7142857,929.1428571,17.42857143,664.5714286,885.8571429,0,1190.714286,3.3,3.4,3.5,3.3
222.8571429,915.4285714,9.428571429,578.2857143,909.4285714,0,1196.714286,3.4,3.5,3.3,3.4
200,772.7142857,17.42857143,504,852.7142857,0,1169.285714,3.5,3.3,3.4,3.3
200.2857143,780.8571429,17.71428571,455.1428571,869.4285714,0,1180,3.3,3.4,3.3,3.3
177.2857143,763.7142857,8.714285714,450.2857143,895.5714286,0,1179.285714,3.4,3.3,3.3,3.1
184.7142857,746.4285714,17.71428571,421,1005.142857,0,1186.714286,3.3,3.3,3.1,3
184.1428571,779.5714286,0,427.8571429,1049.428571,0,1225,3.3,3.1,3,2.9
184.1428571,814.8571429,0,427,1072.285714,0,1224.571429,3.1,3,2.9,2.8
189.7142857,863.1428571,8.714285714,445.5714286,1111,0,1236.857143,3,2.9,2.8,2.8
197.2857143,857.8571429,17.71428571,435,1108,0,1233.714286,2.9,2.8,2.8,2.8
174.8571429,878.2857143,0,446.5714286,1133.857143,0,1253.571429,2.8,2.8,2.8,2.7
203.1428571,886.4285714,17.42857143,448.2857143,1128.428571,0,1244.714286,2.8,2.8,2.7,2.6
205.2857143,869.1428571,8.714285714,431.7142857,1149.285714,0,1221.571429,2.8,2.7,2.6,2.6
215.4285714,801.5714286,26.71428571,451.8571429,1118.285714,0,1160.285714,2.7,2.6,2.6,2.9
218.1428571,753.1428571,26.14285714,457.8571429,1107.142857,8.714285714,1138.142857,2.6,2.6,2.9,2.8
249.2857143,857.5714286,28.71428571,454.5714286,1161,9,1234.857143,2.6,2.9,2.8,2.6
214.1428571,747,18.71428571,462.7142857,1120.714286,8.714285714,1181.857143,2.9,2.8,2.6,2.8
190.8571429,745,8.714285714,432.2857143,1133.714286,0,1169.714286,2.8,2.6,2.8,2.5
226.1428571,778.1428571,27,484.1428571,1197.142857,17.42857143,1289.714286,2.6,2.8,2.5,2.7
242.8571429,887.7142857,57.57142857,491,1162.285714,43.85714286,1259.714286,2.8,2.5,2.7,2.8
262.8571429,1016.285714,72,497.2857143,1194.714286,63.85714286,1273.571429,2.5,2.7,2.8,2.8
279.2857143,1072.428571,37,507.7142857,1215.857143,28.57142857,1345.428571,2.7,2.8,2.8,3
289.8571429,1089,62.14285714,530.7142857,1228.857143,19.71428571,1349.571429,2.8,2.8,3,3.1
372.7142857,1106.714286,70.42857143,594.2857143,1239.142857,83.71428571,1354.857143,2.8,3,3.1,3.1
398.1428571,1093.428571,119.5714286,547.4285714,1243.571429,36.14285714,1353.571429,3,3.1,3.1,3.2
537.1428571,1201.142857,118.4285714,570.8571429,1251.857143,67.42857143,1356.428571,3.1,3.1,3.2,3.3
755.7142857,1302.428571,178.2857143,645.5714286,1272.285714,83.85714286,1407.285714,3.1,3.2,3.3,3.2
905.7142857,1284.285714,186.7142857,615.8571429,1824,82.42857143,1369.428571,3.2,3.3,3.2,3.3
1057.285714,1309.285714,212.1428571,767.8571429,2396.714286,59.28571429,1376.285714,3.3,3.2,3.3,3.3
1062.857143,1229.142857,198.5714286,629.2857143,2868.714286,78.71428571,1354.428571,3.2,3.3,3.3,3.3
1094.142857,1274.285714,209.5714286,756.1428571,3025.714286,66.14285714,1383.571429,3.3,3.3,3.3,3.1
