a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,t-3,t-2,t-1,t
1304.142857,274.1428571,2033.714286,1469.857143,207.7142857,0,192.7142857,1433.142857,46.85714286,1146.142857,3991.857143,849.5714286,224,72.42857143,2.6,2.8,2.7,
1487.714286,272.5714286,2012.857143,1597.142857,221.5714286,0,203.5714286,1408.285714,53.85714286,1193.857143,4119.142857,942.5714286,204.7142857,82,2.8,2.7,,3
1502.714286,300,2439.428571,1856.142857,312.8571429,0,230.7142857,1441.571429,63.85714286,1355.428571,4869,1175.428571,282.1428571,71.85714286,2.7,,3,3.1
1545,297,2672.714286,1605.571429,378.2857143,69.28571429,240.5714286,1579.571429,74.57142857,1348,4844.571429,1234.857143,392.8571429,90.57142857,,3,3.1,3.6
1619.285714,323.8571429,2812.857143,1591.142857,473.7142857,103.4285714,298.1428571,1518.571429,87.85714286,1393.142857,5122.714286,1246.714286,539.1428571,111,3,3.1,3.6,3.9
1875.285714,465,3376.142857,1872.857143,743.5714286,92.42857143,325.1428571,1718.714286,117.8571429,1469.714286,6045.428571,1383.285714,786,125.5714286,3.1,3.6,3.9,4.1
1994,497.8571429,3768.142857,2129.571429,973.5714286,95.42857143,334.5714286,1777,116.5714286,1488.571429,6594.285714,1633.571429,1006.142857,135.7142857,3.6,3.9,4.1,4.2
1908.285714,437.8571429,3891.857143,2088.714286,738.2857143,127.5714286,359.2857143,1742.428571,105.1428571,1525.285714,6554.285714,2047.714286,907.7142857,134.8571429,3.9,4.1,4.2,4.2
1919.142857,365.4285714,3804.571429,2054.571429,508.8571429,99,372.1428571,1789,87.85714286,1549.285714,6421,2213.428571,740.4285714,125,4.1,4.2,4.2,3.5
1793.428571,358.1428571,3443.571429,1987.285714,488.4285714,88.85714286,380.8571429,1752.714286,102,1526,6264.857143,2133.142857,577.7142857,116.2857143,4.2,4.2,3.5,3.6
1813,353.2857143,3142.285714,1835.142857,501,102.4285714,406,1638.428571,123.2857143,1433.714286,5630,1877.428571,524.4285714,116.4285714,4.2,3.5,3.6,3.1
2029.428571,338.5714286,2930.571429,1841.142857,508.8571429,80.14285714,380.4285714,1602.714286,91.85714286,1410.142857,5241.714286,1729.571429,439.1428571,102.7142857,3.5,3.6,3.1,3.1
1762.428571,275.4285714,2631.142857,1578,420.1428571,66,345.1428571,1485.285714,68.14285714,1362.714286,4768.142857,1460.714286,385.2857143,73.85714286,3.6,3.1,3.1,2.9
1938,275,2471.857143,1577.285714,529.4285714,66,310.5714286,1438.714286,61.42857143,1337,4700.428571,1407.285714,347.5714286,86.42857143,3.1,3.1,2.9,2.8
1783.142857,245.8571429,2464.428571,1590.142857,550.4285714,64.57142857,428.4285714,1399.285714,79.42857143,1355.142857,4638.142857,1451.428571,311.1428571,62.85714286,3.1,2.9,2.8,3.8
1482.571429,191.1428571,2249.714286,1266,463,55.14285714,287.4285714,1266.142857,76.28571429,1128.571429,3875.571429,1276.714286,318.7142857,62,2.9,2.8,3.8,2.9
1734.142857,243.7142857,2603.857143,1412,576.2857143,67.14285714,556.4285714,1423,76.42857143,1343.571429,4379.428571,1334.428571,332.5714286,65,2.8,3.8,2.9,2.6
1808.857143,266.5714286,2335.428571,1377.857143,563.1428571,65.28571429,512.8571429,1439.571429,64.57142857,1435.428571,4214.285714,1293.857143,339.2857143,107.1428571,3.8,2.9,2.6,
1618,261.8571429,2402.571429,1393.714286,474.8571429,67.71428571,365.1428571,1363.857143,96.71428571,1377.857143,4218.428571,1244.714286,316.8571429,90.42857143,2.9,2.6,,2.7
1593.714286,267.4285714,2500.285714,1362.285714,470.1428571,70.57142857,359,1344.142857,66.57142857,1378.857143,4229.857143,1257.714286,295.7142857,76.85714286,2.6,,2.7,2.6
1699.571429,266.8571429,2451.285714,1359.571429,444.4285714,69,331.1428571,1354.428571,73,1374.428571,4396.714286,1256.285714,292.1428571,91.71428571,,2.7,2.6,2.7
1514.714286,260.8571429,2462.714286,1271.714286,386.2857143,56.85714286,316.5714286,1347.857143,44.85714286,1259.714286,4086.571429,1202,277.2857143,37.42857143,2.7,2.6,2.7,2.5
1517.428571,244.5714286,2414.571429,1230.571429,336.5714286,66,290.5714286,1360,54.42857143,1277.571429,4389.428571,1161,266.5714286,63.28571429,2.6,2.7,2.5,2.3
1472.857143,282,2497.428571,1394.428571,403.5714286,59,305.4285714,1372.571429,66.42857143,1273.857143,4432.714286,1200.285714,255.1428571,77.28571429,2.7,2.5,2.3,2.4
1327.285714,272.2857143,2457.285714,1262.428571,327.1428571,66.14285714,286.2857143,1361.571429,48.42857143,1248.428571,3922,1159.857143,255.5714286,62.28571429,2.5,2.3,2.4,2.4
1290.428571,249,2484.428571,1156.142857,286.4285714,56,281.5714286,1350.428571,45.28571429,1115.428571,3349.714286,1103,241.5714286,43.85714286,2.3,2.4,2.4,2.3
1165.428571,274.4285714,2522.857143,1137.714286,281.8571429,73.14285714,259.2857143,1355,57.42857143,1159.428571,3261,1080.285714,250.2857143,26,2.4,2.4,2.3,2.4
1112.428571,290.7142857,2530.142857,1123.142857,264.7142857,62,285.8571429,1324.857143,27.42857143,1118.142857,3188.285714,1054.285714,244,35.28571429,2.4,2.3,2.4,
1107,289.5714286,2641.285714,1098.714286,287.2857143,62.57142857,295.1428571,1303,18.85714286,1136.142857,3084.428571,1062.285714,265.7142857,44.28571429,2.3,2.4,,2.3
1392.428571,318.1428571,2906.571429,1071,448,54.14285714,301.5714286,1282.571429,46,1132.571429,2993.714286,994.4285714,382,63.42857143,2.4,,2.3,2.5
2070.142857,402.1428571,3454.857143,1075.714286,543,69.57142857,370.7142857,1316.571429,47.28571429,1180.142857,3389.714286,1009.142857,607.2857143,36.57142857,,2.3,2.5,2.6
1832.571429,360.1428571,3556.428571,1058.857143,590.8571429,63,373,1316.857143,64.28571429,1205.571429,3426.714286,1015.285714,575.5714286,78.85714286,2.3,2.5,2.6,2.6
1554.714286,310.4285714,3650.428571,1058.857143,627.2857143,76.28571429,352.5714286,1272.428571,58,1209,3215,995.5714286,543.1428571,66.71428571,2.5,2.6,2.6,2.6
1355,292.5714286,3756.714286,1082.714286,560.8571429,69.71428571,319.4285714,1250.142857,45.57142857,1233.428571,3331.285714,981.5714286,439.7142857,35.85714286,2.6,2.6,2.6,2.5
1287.857143,278.4285714,3579.428571,1073.571429,464.1428571,80.42857143,322.8571429,1265.428571,54.71428571,1302.571429,3275.571429,978.2857143,478.7142857,17.85714286,2.6,2.6,2.5,2.6
1273,277.4285714,3382.142857,1112.857143,439.2857143,56.14285714,287,1275.857143,65.85714286,1350.857143,3509.571429,1032.428571,383.1428571,8.571428571,2.6,2.5,2.6,2.6
1039.142857,247.5714286,3250,1098.571429,358.1428571,66.85714286,342.7142857,1279.571429,45.28571429,1306.714286,3287.285714,992,337.4285714,17.71428571,2.5,2.6,2.6,2.5
1033.428571,234.7142857,3319.857143,1084.285714,387,63.14285714,286,1262.857143,54.57142857,1368.428571,3562,1108.714286,324.2857143,8.714285714,2.6,2.6,2.5,2.4
1068.285714,229.8571429,3399.285714,1103,379.7142857,45.85714286,285,1270.857143,57.28571429,1430.857143,3685.142857,1150.285714,329.2857143,17.71428571,2.6,2.5,2.4,2.5
984,215.8571429,3192.428571,1152.428571,331.1428571,43.14285714,286.4285714,1285,45,1426.142857,3789.428571,1085,270.1428571,8.714285714,2.5,2.4,2.5,2.5
1022,221.2857143,3266.857143,1179.571429,330.2857143,17.28571429,273,1307.571429,36.71428571,1342.285714,3928.428571,1050.428571,255,9.142857143,2.4,2.5,2.5,2.5
1082.428571,216.7142857,3176.285714,1195,332.8571429,8.571428571,271.5714286,1311,45.42857143,1315,3852.285714,1076.571429,232,8.714285714,2.5,2.5,2.5,2.4
1042.857143,223.5714286,2739,1249.714286,340.1428571,34.57142857,264.2857143,1304.285714,26.71428571,1278.714286,3841.428571,1078.142857,224,17.28571429,2.5,2.5,2.4,2.4
1005.142857,240.1428571,2516,1241.142857,302.4285714,8.571428571,249.2857143,1288.428571,43.85714286,1218.142857,3714.142857,983.2857143,227.5714286,63.14285714,2.5,2.4,2.4,2.3
1047.571429,259.7142857,2383.285714,1271,312.8571429,9,264.2857143,1312.428571,0,1271.142857,4092.285714,962.7142857,231.1428571,51.85714286,2.4,2.4,2.3,2.3
982.5714286,261,2357.857143,1317,346.1428571,0,254.1428571,1319.857143,26,1345.857143,4592.285714,1002.857143,226.7142857,28,2.4,2.3,2.3,2.3
914.7142857,253,2195.428571,1189.142857,289.4285714,0,254.5714286,1301.142857,27.28571429,1324.714286,4111.142857,884.8571429,194.7142857,27.42857143,2.3,2.3,2.3,2.5
883.5714286,219.8571429,2162.571429,1147.142857,248,0,248.1428571,1273,8.571428571,1236,3893.571429,755.8571429,193.4285714,0,2.3,2.3,2.5,2.5
982.8571429,235.7142857,2224.285714,1201.285714,278.1428571,0,263.4285714,1309.285714,9.428571429,1273.142857,3953.571429,756.7142857,208.1428571,18.42857143,2.3,2.5,2.5,2.4
1040.571429,249.2857143,2144.857143,1270.714286,330.7142857,8.571428571,296.8571429,1290.142857,8.714285714,1365,3909.428571,776.4285714,200.4285714,26.42857143,2.5,2.5,2.4,2.5
1061.142857,251.2857143,2125.571429,1218.428571,332.5714286,0,265,1350.142857,17.28571429,1297,3689.142857,762,192.5714286,25.85714286,2.5,2.4,2.5,2.5
1030.285714,262.2857143,1927.428571,1170.142857,307.7142857,8.571428571,253.5714286,1264,44.14285714,1267.285714,3675.142857,672.1428571,199.4285714,36.42857143,2.4,2.5,2.5,2.5
1154.571429,255.2857143,2034.428571,1275,332.8571429,9,245.7142857,1293.571429,45,1303.714286,3894,849.7142857,192,52,2.5,2.5,2.5,2.5
1184.285714,261.1428571,1938,1301.714286,323,8.714285714,257,1271,26.71428571,1277.428571,3712,698.7142857,196.2857143,81.85714286,2.5,2.5,2.5,2.5
1163.428571,259.5714286,2144.714286,1349.714286,338.2857143,9.142857143,258.1428571,1311,52.71428571,1330,3911.714286,768.5714286,215.2857143,53.42857143,2.5,2.5,2.5,2.6
