a1,a2,a3,a4,a5,a6,a7,t-3,t-2,t-1,t
1174.285714,216.5714286,2729.428571,509.5714286,177.4285714,189.1428571,97.57142857,3.3,3.2,2.9,2.8
1514.571429,220.7142857,2542.571429,500.1428571,172.2857143,186.5714286,114.2857143,3.2,2.9,2.8,2.7
1180.428571,238.2857143,2418.714286,469.8571429,180.2857143,193.1428571,104.2857143,2.9,2.8,2.7,2.8
1121.857143,231.1428571,2523.428571,488.4285714,174.4285714,194.4285714,99.42857143,2.8,2.7,2.8,2.9
1105.571429,232.4285714,2503.285714,471.5714286,175.2857143,189.5714286,98.14285714,2.7,2.8,2.9,2.6
1179.428571,228.1428571,2523.142857,459,193.5714286,209.4285714,99.57142857,2.8,2.9,2.6,2.7
1062,202.5714286,2468.142857,446.7142857,191.2857143,187.2857143,76.85714286,2.9,2.6,2.7,3
1258.428571,237.2857143,2580.857143,477.1428571,209.8571429,212.4285714,110.8571429,2.6,2.7,3,2.6
1188.857143,230.5714286,2306.714286,428.5714286,196.8571429,212.8571429,94.57142857,2.7,3,2.6,2.4
1186.285714,251.7142857,2276.428571,434,184.7142857,194.5714286,88.85714286,3,2.6,2.4,2.4
1265.285714,283.7142857,2296.142857,429.4285714,186.7142857,193.5714286,77,2.6,2.4,2.4,2.4
1304.142857,274.1428571,2033.714286,457.2857143,207.7142857,192.7142857,85.71428571,2.4,2.4,2.4,2.3
1487.714286,272.5714286,2012.857143,377.4285714,221.5714286,203.5714286,83.85714286,2.4,2.4,2.3,
1502.714286,300,2439.428571,537.4285714,312.8571429,230.7142857,97.57142857,2.4,2.3,,2.4
1545,297,2672.714286,603,378.2857143,240.5714286,95.42857143,2.3,,2.4,2.4
1619.285714,323.8571429,2812.857143,585.8571429,473.7142857,298.1428571,104.8571429,,2.4,2.4,2.3
1875.285714,465,3376.142857,659.5714286,743.5714286,325.1428571,197.2857143,2.4,2.4,2.3,2.3
1994,497.8571429,3768.142857,706.4285714,973.5714286,334.5714286,224,2.4,2.3,2.3,2.5
1908.285714,437.8571429,3891.857143,670.7142857,738.2857143,359.2857143,233.2857143,2.3,2.3,2.5,2.7
1919.142857,365.4285714,3804.571429,529,508.8571429,372.1428571,215.5714286,2.3,2.5,2.7,2.9
1793.428571,358.1428571,3443.571429,540.7142857,488.4285714,380.8571429,205,2.5,2.7,2.9,2.8
