a1,t-3,t-2,t-1,t
140,2.8,3,3.2,3.4
160.5714286,3,3.2,3.4,3.7
157.7142857,3.2,3.4,3.7,4.1
206.8571429,3.4,3.7,4.1,5.3
240.4285714,3.7,4.1,5.3,5.3
211.5714286,4.1,5.3,5.3,5.4
513.5714286,5.3,5.3,5.4,5.1
606,5.3,5.4,5.1,4.6
406.7142857,5.4,5.1,4.6,6.2
302.5714286,5.1,4.6,6.2,3.4
104.4285714,4.6,6.2,3.4,2.9
178.8571429,6.2,3.4,2.9,2.8
207,3.4,2.9,2.8,
216,2.9,2.8,,3.3
217.7142857,2.8,,3.3,3.5
213.7142857,,3.3,3.5,3.6
199,3.3,3.5,3.6,3.9
192.2857143,3.5,3.6,3.9,3.7
160.7142857,3.6,3.9,3.7,3.6
138.7142857,3.9,3.7,3.6,3.3
143.7142857,3.7,3.6,3.3,3.2
140.8571429,3.6,3.3,3.2,2.6
107.2857143,3.3,3.2,2.6,2.5
132.7142857,3.2,2.6,2.5,2.5
142.5714286,2.6,2.5,2.5,2.4
115.8571429,2.5,2.5,2.4,2.6
123.8571429,2.5,2.4,2.6,2.3
96.28571429,2.4,2.6,2.3,2.3
91.42857143,2.6,2.3,2.3,2.4
80.57142857,2.3,2.3,2.4,2.4
108.1428571,2.3,2.4,2.4,2.3
27,2.4,2.4,2.3,2.2
17.71428571,2.4,2.3,2.2,2.3
8.714285714,2.3,2.2,2.3,2.2
25.28571429,2.2,2.3,2.2,2.1
51.71428571,2.3,2.2,2.1,2.1
35.57142857,2.2,2.1,2.1,2
43.28571429,2.1,2.1,2,2
51.42857143,2.1,2,2,2.1
54.71428571,2,2,2.1,2.3
112.1428571,2,2.1,2.3,2.2
81.71428571,2.1,2.3,2.2,2.3
112,2.3,2.2,2.3,2.9
109.4285714,2.2,2.3,2.9,2.2
45.14285714,2.3,2.9,2.2,2.4
113.7142857,2.9,2.2,2.4,2.4
138.8571429,2.2,2.4,2.4,2.5
149.2857143,2.4,2.4,2.5,2.5
159.5714286,2.4,2.5,2.5,2.6
162.7142857,2.5,2.5,2.6,2.9
169.7142857,2.5,2.6,2.9,3.3
172.1428571,2.6,2.9,3.3,3.7
200,2.9,3.3,3.7,4.7
241.2857143,3.3,3.7,4.7,5.3
342,3.7,4.7,5.3,5.5
475.5714286,4.7,5.3,5.5,5.9
435.5714286,5.3,5.5,5.9,5.3
338.7142857,5.5,5.9,5.3,4.5
276.5714286,5.9,5.3,4.5,6.8
195,5.3,4.5,6.8,8.5
286.5714286,4.5,6.8,8.5,6.4
130.1428571,6.8,8.5,6.4,5.4
134,8.5,6.4,5.4,4.4
89.28571429,6.4,5.4,4.4,3.5
104,5.4,4.4,3.5,2.8
109,4.4,3.5,2.8,2.5
98.42857143,3.5,2.8,2.5,2.4
87.85714286,2.8,2.5,2.4,2.3
97,2.5,2.4,2.3,2.1
35.14285714,2.4,2.3,2.1,1.9
44.14285714,2.3,2.1,1.9,1.9
44.14285714,2.1,1.9,1.9,1.8
52.28571429,1.9,1.9,1.8,1.9
62.14285714,1.9,1.8,1.9,1.9
35,1.8,1.9,1.9,1.9
26.57142857,1.9,1.9,1.9,1.9
70,1.9,1.9,1.9,1.9
62,1.9,1.9,1.9,
34.57142857,1.9,1.9,,2.2
25.57142857,1.9,,2.2,2.4
71,,2.2,2.4,2
42.42857143,2.2,2.4,2,1.9
