a1,a2,t-3,t-2,t-1,t
63.42857143,1224.428571,3.5,2.9,3.9,2.5
0,1059.285714,2.9,3.9,2.5,2.6
36.85714286,1270.571429,3.9,2.5,2.6,3.1
65.28571429,1200,2.5,2.6,3.1,4
114.5714286,1213.285714,2.6,3.1,4,4
124.8571429,1235.142857,3.1,4,4,4.3
127.8571429,1322.428571,4,4,4.3,3.7
95.85714286,1383.428571,4,4.3,3.7,3.6
93.57142857,1297.428571,4.3,3.7,3.6,3.7
47.14285714,1202,3.7,3.6,3.7,
45,1139.714286,3.6,3.7,,
,,3.7,,,
